"source","source_rank","doi","title","year"
"Crossref","41","10.1177/00111287251316515","Redefining Recidivism Prediction: The Impact of Race and Geographic Location in Machine Learning Models","2025"
"Crossref","42","10.33022/ijcs.v14i3.4881","Systematic Literature Review on Crime Prediction using Machine Learning Techniques","2025"
"Crossref","43","10.1016/j.uclim.2026.102792","Unveiling nonlinear dynamics in urban blue-green space cooling: Spatiotemporal supply-demand matching via integrated machine learning in Hangzhou","2026"
"Crossref","44","10.1109/access.2023.3286344","Crime Prediction Using Machine Learning and Deep Learning: A Systematic Review and Future Directions","2023"
"Crossref","45","10.3390/rs12010109","Spatiotemporal Modeling of Urban Growth Using Machine Learning","2019"
"Crossref","46","10.2139/ssrn.4136568","Analysis of the Nonlinear Relationship and Interaction Effect between Urban Environments and Crime Incidence: Using Urban Big Data and Interpretable Machine Learning","2022"
"Crossref","47","10.1080/19439962.2025.2529841","Capturing short-term spatiotemporal traffic states for crash severity prediction in urban areas using explainable machine learning models","2025"
"Crossref","48","10.1007/s11227-025-07671-3","Spatiotemporal graph learning driven by multivariate KAN for urban road network traffic prediction","2025"
"Crossref","49","10.1186/s42492-021-00075-z","Crime forecasting: a machine learning and computer vision approach to crime prediction and prevention","2021"
"Crossref","50","10.1016/j.envres.2025.123657","Spatiotemporal prediction of aeropollen concentration using tree-based machine learning","2026"
